sheet,variable,supposed_type,description,example_entry,references_table,original_or_derived,final_keep_sheet,final_keep_variable,final_name_sheet,final_name_variable,order_cols,order_rows,round_cycle,round_digits,na_allowed
general,facility_id,text,,,,original,no,yes,,facility_id,1,1,,,
general,mine_fac,text,,,,original,no,yes,,facility_name,2,,,,
general,mine_other_names,text,,,,original,no,yes,,facility_other_names,3,,,,
general,country,text,,,,original,no,yes,,country,14,,,,
general,state,text,,,,original,no,no,,,,,,,
general,region,text,,,,original,no,no,,,,,,,
general,province,text,,,,original,no,no,,,,,,,
general,district,text,,,,original,no,no,,,,,,,
general,sector,text,,,,original,no,no,,,,,,,
general,location_municipality,text,,,,original,no,no,,,,,,,
general,surface_area,numeric,,,,original,no,yes,,surface_area_sq_km,12,,,,
general,unit_surface_area,text,,,,original,no,no,,,,,,,
general,claim_concession_area,numeric,,,,original,no,yes,,concession_area_sq_km,13,,,,
general,unit_concession_area,text,,,,original,no,no,,,,,,,
general,mine_or_processing,text,,,,original,no,yes,,facility_type,4,,,,
general,commodities_products,text,,,,original,no,yes,,commodities_products,5,,,,
general,primary_commodity,text,,,,derived,no,yes,,primary_commodity,6,,,,
general,mining_facility_types,text,,,,original,no,yes,,facility_equipment,7,,,,
general,production_start,numeric,,,,original,no,yes,,production_start,8,,,,
general,production_end,numeric,,,,original,no,yes,,production_end,9,,,,
general,activity_status,text,,,,original,no,yes,,activity_status,10,,,,
general,year_activity_status,numeric,,,,original,no,yes,,activity_status_year,11,,,,
general,certification_scheme,text,,,,original,no,no,,,,,,,
general,GID_0,text,,,,derived,no,yes,,GID_0,16,,,,
general,GID_1,text,,,,derived,no,yes,,GID_1,17,,,,
general,GID_2,text,,,,derived,no,yes,,GID_2,18,,,,
general,GID_3,text,,,,derived,no,yes,,GID_3,19,,,,
general,GID_4,text,,,,original,no,yes,,GID_4,20,,,,
general,n_features,numeric,,,,derived,no,no,,,,,,,
general,source_id,text,,,,original,no,yes,,source_id,21,,,,
general,comment,text,,,,original,no,yes,,comment,22,,,,
general,geom,geom,,,,original,no,yes,,geom,15,,,,
sub_sites,facility_id,text,,,,original,no,yes,,facility_id,1,1,,,
sub_sites,mine_fac,text,,,,original,no,yes,,facility_name,2,,,,
sub_sites,sub_site,text,,,,original,no,yes,,sub_site_name,3,,,,
sub_sites,sub_site_other_name,text,,,,original,no,yes,,sub_site_other_names,4,,,,
sub_sites,surface_area,numeric,,,,original,no,yes,,surface_area_sq_km,12,,,,
sub_sites,unit_surface_area,text,,,,original,no,no,,,,,,,
sub_sites,claim_concession_area,numeric,,,,original,no,yes,,concession_area_sq_km,13,,,,
